STATION_NAME,latitude,longitude
Cicero,41.85182,-87.745336
Central Park,41.853839,-87.714842
Halsted,41.778943,-87.644244
Cumberland,41.984246,-87.838028
Racine,41.87592,-87.659458
Paulina,41.943623,-87.670907
18th,41.857908,-87.669147
Clark/Lake,41.885737,-87.630886
Jefferson Park,41.970634,-87.760892
Diversey,41.932732,-87.653131
Montrose,41.961756,-87.675047
UIC-Halsted,41.875474,-87.649707
35th-Bronzeville-IIT,41.831677,-87.625826
Foster,42.05416,-87.68356
Quincy/Wells,41.878723,-87.63374
Southport,41.943744,-87.663619
Loyola,42.001073,-87.661061
47th,41.810318,-87.63094
Bryn Mawr,41.983504,-87.65884
Harlem,41.87349,-87.806961
Howard,42.019063,-87.672892
Kedzie,41.884321,-87.706155
King Drive,41.78013,-87.615546
Ashland/63rd,41.77886,-87.663766
95th/Dan Ryan,41.722377,-87.624342
Western,41.916157,-87.687364
Armitage,41.918217,-87.652644
Roosevelt,41.867368,-87.627402
Belmont,41.939751,-87.65338
54th/Cermak,41.85177331,-87.75669201
Dempster,42.041655,-87.681602
Fullerton,41.925051,-87.652866
Lawrence,41.969139,-87.658493
Illinois Medical District,41.875706,-87.673932
Lake,41.884809,-87.627813
79th,41.750419,-87.625112
Austin,41.887293,-87.774135
Clinton,41.875539,-87.640984
Wellington,41.936033,-87.653266
Oak Park,41.886988,-87.793783
Chicago,41.896671,-87.628176
Sedgwick,41.910409,-87.639302
Addison,41.94738,-87.71906
Jackson,41.878183,-87.629296
Monroe,41.880703,-87.629378
Rockwell,41.966115,-87.6941
Damen,41.854517,-87.675975
Pulaski,41.873797,-87.725663
Harlem/Lake,41.886848,-87.803176
Washington/Wabash,41.88322,-87.626189
California,41.88422,-87.696234
Morse,42.008362,-87.665909
Grand,41.891189,-87.647578
Division,41.903355,-87.666496
Sheridan,41.953775,-87.654929
Merchandise Mart,41.888969,-87.633924
O'Hare,41.97766526,-87.90422307
43rd,41.816462,-87.619021
Sox-35th,41.831191,-87.630636
Logan Square,41.929728,-87.708541
Ashland,41.885269,-87.666969
Irving Park,41.952925,-87.729229
Wilson,41.964273,-87.657588
Cermak-Chinatown,41.853206,-87.630968
LaSalle,41.875568,-87.631722
Thorndale,41.990259,-87.659076
Granville,41.993664,-87.659202
Central,41.887389,-87.76565
Conservatory,41.884904,-87.716523
Noyes,42.058282,-87.683337
Jarvis,42.015876,-87.669092
Davis,42.04771,-87.683543
51st,41.80209,-87.618487
Garfield,41.795172,-87.618327
Cermak-McCormick Place,41.853115,-87.626402
Polk,41.871551,-87.66953
35th/Archer,41.829353,-87.680622
South Boulevard,42.027612,-87.678329
Main,42.033456,-87.679538
Argyle,41.973453,-87.65853
Harold Washington Library-State/Van Buren,41.876862,-87.628196
Washington,41.883164,-87.62944
Kedzie-Homan,41.874341,-87.70604
63rd,41.780536,-87.630952
Laramie,41.887163,-87.754986
87th,41.735372,-87.624717
Forest Park,41.874257,-87.817318
Rosemont,41.983507,-87.859388
Adams/Wabash,41.879507,-87.626037
Berwyn,41.977984,-87.658668
Clark/Division,41.90392,-87.631412
Indiana,41.821732,-87.621371
Kostner,41.853751,-87.733258
Dempster-Skokie,42.038951,-87.751919
Morgan,41.885586,-87.652193
Oakton-Skokie,42.02624348,-87.74722084
Cottage Grove,41.780309,-87.605857
Midway,41.78661,-87.737875
Ridgeland,41.887159,-87.783661
Linden,42.073153,-87.69073
North/Clybourn,41.910655,-87.649177
Francisco,41.966046,-87.701644
LaSalle/Van Buren,41.8768,-87.631739
69th,41.768367,-87.625724
Washington/Wells,41.882695,-87.63378
Harrison,41.874039,-87.627479
Kimball,41.967901,-87.713065
State/Lake,41.88574,-87.627835
